,title,webtoon_link,status,thumb_link,auth,genres,ages,intro,series_url,likes,r_rated,episodes,first_register_date,last_register_date,rates,ages2,rates2,genre1,genre2,genre1_pre,genre2_pre
1200,"열렬하게, 단하나",https://comic.naver.com/webtoon/list?titleId=722542,1,https://shared-comic.pstatic.net/thumb/webtoon/722542/thumbnail/thumbnail_IMAG10_73a0c29d-cfda-4dea-9eb1-05e2508165a9.jpg,RAN / 이른봄,"스토리, 로맨스",전체연령가,"방출 위기에 처한 7년차 연습생 단하나,입덕을 부르는 톱스타 박도결의 멘티가 되어 열렬하고 은밀한 덕심 분출 로맨스를 시작한다!",https://series.naver.com/comic/detail.series?originalProductId=350885,20980,0,35.0,2019.08.08,2019.08.15,9.7,0,9.7,스토리,로맨스,0,0
1201,열린 지옥문 닫힘,https://comic.naver.com/webtoon/list?titleId=790354,0,https://shared-comic.pstatic.net/thumb/webtoon/790354/thumbnail/thumbnail_IMAG10_16369436-9e2d-43ea-a202-34958f0d074e.jpg,녹밤,"스토리, 로맨스",전체연령가,"항상 크고 작은 불운이 가득한 고등학생 문옥지.더 큰 불운이 오는 것을 막아주는 옥지의 소꿉친구이자 담당 저승사자인 하성.그러던 어느 날 하성이 감지하지 못한 사고가 일어나게 되고, 옥지의 운명은 절망으로 치닫는다.그리고 옥지의 앞에 나타나는 또 다른 수상한 저승사자.옥지가 자신의 운명을 무사히 되돌리기 위한 여정이 시작된다.",https://series.naver.com/comic/detail.series?originalProductId=458761,15,0,46.0,2022.02.09,2022.02.09,8.5,0,8.5,스토리,로맨스,0,0
1202,열무가 익어간다,https://comic.naver.com/webtoon/list?titleId=570504,1,https://shared-comic.pstatic.net/thumb/webtoon/570504/thumbnail/title_thumbnail_20130712191607_t83x90.jpg,박민경,"스토리, 로맨스",12세 이용가,파릇파릇 철없는 청년 차열무의 인생 성장기<오란씨100> 박민경 작가의 신작.,https://series.naver.com/comic/detail.series?originalProductId=120083,17032,0,47.0,2013.07.14,2013.08.11,8.9,1,8.9,스토리,로맨스,0,0
1203,열불 로맨스,https://comic.naver.com/webtoon/list?titleId=725552,1,https://shared-comic.pstatic.net/thumb/webtoon/725552/thumbnail/thumbnail_IMAG10_5c06c47b-3d1a-4bba-864f-febc6e0aa3cf.jpg,홍치,"스토리, 로맨스",전체연령가,죽기 싫으면 연애하라!화 많은 소녀 불화자의 살기 위한 필'수(水)' 로맨스.,https://series.naver.com/comic/detail.series?originalProductId=355729,100000,0,91.0,2019.03.29,2019.05.31,9.9,0,9.9,스토리,로맨스,0,0
1204,열쇠줍는아이,https://comic.naver.com/webtoon/list?titleId=26084,1,https://shared-comic.pstatic.net/thumb/webtoon/26084/thumbnail/title_thumbnail_20160406171559_t83x90.jpg,최윤진,"스토리, 판타지",15세 이용가,"어느날 그들의 운명을 바꿔버린 열쇠
그리고 찾아온 이별. 엇갈림. 오해. 그 진실을 찾기위한 두 소녀의 외로운 여행기",https://series.naver.com/comic/detail.series?originalProductId=231814,1623,0,7.0,2008.05.05,2008.07.07,9.0,2,9.0,스토리,판타지,0,2
1205,열아홉스물하나,https://comic.naver.com/webtoon/list?titleId=206146,1,https://shared-comic.pstatic.net/thumb/webtoon/206146/thumbnail/title_thumbnail_20100806194800_t83x90.jpg,요한 / 김혜진,"스토리, 로맨스",전체연령가,"아직 아이이고 싶은 열아홉 살 남자아이 동휘와 스물 한 살의 어른이 되어도 아이와 다를 바 없는 여자 윤이.
길고양이를 통해 만난 그들이 소중한 것을 나누는 이야기.",,18048,0,22.0,2010.11.01,2011.01.03,9.950999999999995,0,9.95,스토리,로맨스,0,0
1206,열일곱,https://comic.naver.com/webtoon/list?titleId=693445,1,https://shared-comic.pstatic.net/thumb/webtoon/693445/thumbnail/thumbnail_IMAG10_0a3ae5de-bf12-4f68-a031-061b0d5aac49.jpg,플레이리스트,"스토리, 로맨스",전체연령가,"가장 순수하고 찬란했던 시절, 열일곱 살의 넌 누굴 좋아했니?
우리를 설레게 했던 웹드라마 <열일곱>이 포토툰으로 찾아옵니다.",,55894,0,8.0,2017.07.01,2017.07.24,6.0,0,6.0,스토리,로맨스,0,0
1207,열정호구,https://comic.naver.com/webtoon/list?titleId=686312,1,https://shared-comic.pstatic.net/thumb/webtoon/686312/thumbnail/title_thumbnail_20161010182406_t83x90.jpg,솔뱅이,"에피소드, 드라마",전체연령가,멀고도 험한 취업 관문을 뚫고 드디어 취업에 성공!?꽃길만 펼쳐질 줄 알았는데...어쩐지 열정페이의 함정에 빠진 것만 같다.,https://series.naver.com/comic/detail.series?originalProductId=252731,100000,0,181.0,2016.10.24,2016.12.26,9.6,0,9.6,에피소드,드라마,1,1
1208,엽사:요괴사냥꾼,https://comic.naver.com/webtoon/list?titleId=769210,1,https://shared-comic.pstatic.net/thumb/webtoon/769210/thumbnail/thumbnail_IMAG10_4c62e25c-eab7-413b-8b6b-470075b846c2.jpg,삼박,"스토리, 액션",15세 이용가,"전쟁과 요괴가 들끓는 난세의 시대.부모에게 버림받고, 생계를 위해 약초꾼 일을 하며 살아온 소년 오석.어느 날 도적의 꾀임에 넘어가 요괴에게 자신의 몸을 뺏길 뻔한다.순간적인 기지와 요괴사냥꾼인 엽사의 도움으로 살아난 오석.하지만 그의 몸 속에는 아직 요괴가 숨어있는 상태!요괴를 꺼내줄 수 있는 사람을 찾아 마을을 떠나게 되는데..",https://series.naver.com/comic/detail.series?originalProductId=428410,492,0,69.0,2021.03.25,2021.05.06,7.0,2,7.0,스토리,액션,0,4
1209,엽총소년,https://comic.naver.com/webtoon/list?titleId=759925,1,https://shared-comic.pstatic.net/thumb/webtoon/759925/thumbnail/thumbnail_IMAG10_ab461af8-c357-459e-bf71-cdbb924cffcf.jpg,김칸비 / 홍필,"스토리, 스릴러",15세 이용가,"약자에서 영웅이 될 수밖에 없었던 소년 '한규환', 그리고 그 소년을 영웅으로 만들어줄 엽총 한 자루가 눈앞에 있다.글로벌 누적 조회수 12억 뷰를 기록한 <스위트홈>의 프리퀄 대공개!",https://series.naver.com/comic/detail.series?originalProductId=425572,5168,0,69.0,2021.02.22,2021.04.05,9.7,2,9.7,스토리,스릴러,0,3
1210,영광의 교실,https://comic.naver.com/webtoon/list?titleId=750578,1,https://shared-comic.pstatic.net/thumb/webtoon/750578/thumbnail/thumbnail_IMAG10_934fea51-23e0-4fb7-8350-9de1b9a7278b.jpg,아니영,"스토리, 드라마",12세 이용가,"불의의 사고로 부모님을 잃은 뒤 누나 “영주”와 단 둘이 살아온 “영광”.자신을 싫어하는 누나에게 사랑받고자 노력하지만, 끝내 거절 당하고 외롭게 자라나게 된다.",https://series.naver.com/comic/detail.series?originalProductId=351158,1956,0,48.0,2020.08.24,2020.08.24,9.7,1,9.7,스토리,드라마,0,1
1211,영수의 봄,https://comic.naver.com/webtoon/list?titleId=639080,1,https://shared-comic.pstatic.net/thumb/webtoon/639080/thumbnail/title_thumbnail_20141022222807_t83x90.jpg,이윤희,"스토리, 드라마",12세 이용가,카메라를 들고 셋을 세었을 때 나는 사랑의 마법에 걸렸다?!SBA-서울문화사-네이버가 함께하는 2014 만화 스카우트 당선작입니다.,https://series.naver.com/comic/detail.series?originalProductId=214843,45924,0,29.0,2014.10.31,2014.11.07,9.2,1,9.2,스토리,드라마,0,1
1212,영애의 경호관,https://comic.naver.com/webtoon/list?titleId=793617,0,https://shared-comic.pstatic.net/thumb/webtoon/793617/thumbnail/thumbnail_IMAG10_185abf31-7f4c-43fe-99bb-7ca0c142a7fd.jpg,러스츄 / 전경민 / carbo(도효원),"스토리, 로맨스",15세 이용가,"국정원 임무를 위해 시작한 연애,그런데 이 영애님 뭔가 수상하다?​",https://series.naver.com/comic/detail.series?originalProductId=462848,18,0,47.0,2022.04.17,2022.04.17,9.0,2,9.0,스토리,로맨스,0,0
1213,영앤리치가 아니야!,https://comic.naver.com/webtoon/list?titleId=734574,1,https://shared-comic.pstatic.net/thumb/webtoon/734574/thumbnail/thumbnail_IMAG10_3826e6bf-18f7-4f56-9b15-3cc5e1b0e6ff.jpg,최삡뺩,"스토리, 개그",전체연령가,"<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",,289,0,16.0,2021.09.12,2021.11.14,9.961000000000002,0,9.96,스토리,개그,0,5
1214,영웅&마왕&악당,https://comic.naver.com/webtoon/list?titleId=796466,0,https://shared-comic.pstatic.net/thumb/webtoon/796466/thumbnail/thumbnail_IMAG10_ee77ac0f-a834-493d-afda-a02b5cb105af.jpg,모모 / 무영자,"스토리, 판타지",12세 이용가,"신들의 가호를 받아 악을 처단하는 고결한 ‘영웅’.악마의 힘을 받아 태어난 강력한 마족 최후의 생존자 ‘마왕’.악의 조직을 전전하는 숙련된 삼류 ‘악당’.악당 생활도 이젠 끝이다. 은퇴해서 편안한 여생을 보내려 했더니우연히 주운 녀석은 마왕이고, 영웅 녀석은 은혜를 갚겠답시고 찾아와내 편안한 은퇴 생활을 망치고 있다!악당을 가호하는 아흔아홉 악마시여….신의 축복이나 받고 죽으소서!",https://series.naver.com/comic/detail.series?originalProductId=473567,172,0,28.0,2022.09.20,2022.11.22,9.4,1,9.4,스토리,판타지,0,2
1215,영월동 534번지,https://comic.naver.com/webtoon/list?titleId=746752,1,https://shared-comic.pstatic.net/thumb/webtoon/746752/thumbnail/thumbnail_IMAG10_c2dec411-2fa9-4dbf-b8d6-4655d3118a38.jpg,임성훈 / 정보근,"에피소드, 드라마",전체연령가," 어린 시절 기억을 잃은 채 미국으로 입양된 여리원은 자신에게 화재와 관련된 트라우마가 있다는 것을 알게 되고, 이를 치료할 과거의 사실을 확인하기 위해 한국을 찾는다.  그러나 여리원이 기억을 잃은 계기가 된 과거의 화재 사건과 밀접한 관계를 가진 새봄재단이사장 박정덕은, 마침 코앞으로 다가온 국회의원 선거를 앞두고 그녀의 방문을 탐탁치않게 여긴다.  과거를 찾아나선 여리원은 자신과 과거와 연관된 여러 사람을 만나가는 과정 속에서 많은 사람들이 화재사건과 자신의 어머니에 대한 것을 숨기려 하고 있음을 눈치 채기 시작한다…!",https://series.naver.com/comic/detail.series?originalProductId=359350,468,0,60.0,2020.06.08,2020.06.08,9.6,0,9.6,에피소드,드라마,1,1
