,no,title,link,status,author,fake_intro,real_intro,likes,episodes,first_register_date,last_register_date,age,rate,genre1_pre,genre2_pre,thumb_link
219,220,끈,https://comic.naver.com/webtoon/list?titleId=801951,0,윤선생 / 김수현 / 김서진,"평생을 고향 동주시에 살고 있는 형사 주영. 몸이 불편한 언니 미령과 그녀의 아들 지민과 함께 무난한 시골 형사로 살아가고 있었다.그러던 어느 날, 동주시의 괴이한 사건들과 함께 정체모를 여자의 살인사건이 발생, 이를 수사하려고 하지만 그녀의 수사는 오랫동안 사라졌다 검사가 되어 만난 소꿉친구 현우에 의해 번번이 막히고 만다. 영문을 알 수 없지만 사건을 파고들 수록 지민이는 환각 증세에 시달리게 되고 범인은 마치 인간이 아닌 것만 같다,주영과 동료 진원은 사건을 파헤치며 미령, 현우, 지민, 나아가 동주시의 시민 전체와 얽혀 있는기묘하고도 섬뜩한 존재에 다가가기 시작한다.","평생을 고향 동주시에 살고 있는 형사 주영. 몸이 불편한 언니 미령과 그녀의 아들 지민과 함께 무난한 시골 형사로 살아가고 있었다.그러던 어느 날, 동주시의 괴이한 사건들과 함께 정체모를 여자의 살인사건이 발생, 이를 수사하려고 하지만 그녀의 수사는 오랫동안 사라졌다 검사가 되어 만난 소꿉친구 현우에 의해 번번이 막히고 만다. 영문을 알 수 없지만 사건을 파고들 수록 지민이는 환각 증세에 시달리게 되고 범인은 마치 인간이 아닌 것만 같다,주영과 동료 진원은 사건을 파헤치며 미령, 현우, 지민, 나아가 동주시의 시민 전체와 얽혀 있는기묘하고도 섬뜩한 존재에 다가가기 시작한다.",22,19.0,2022.11.03,2022.11.03,3,8.8,0,3,https://shared-comic.pstatic.net/thumb/webtoon/801951/thumbnail/thumbnail_IMAG10_85dc5d41-af4e-430c-9fc5-1cd9462281ec.jpg
220,221,나 혼자 네크로맨서,https://comic.naver.com/webtoon/list?titleId=780170,0,김경열 / 김동준 / 지점장,"곧 세상이 멸망한다.전설 속에나 나올 법한 몬스터들이 각지에 출현한다.그리고 사람들을 잡아먹고, 길거리를 점령하며, 빌딩과 지하철에 던전을 만들기 시작한다.멸망한 세계에서 살아남기 위해 단 한 가지 직업을 고를 수 있다.당신은 무슨 직업을 고르겠는가?""네크로맨서""나에게는 멸망이 무대이고, 죽음이 자산이 된다.","곧 세상이 멸망한다.전설 속에나 나올 법한 몬스터들이 각지에 출현한다.그리고 사람들을 잡아먹고, 길거리를 점령하며, 빌딩과 지하철에 던전을 만들기 시작한다.멸망한 세계에서 살아남기 위해 단 한 가지 직업을 고를 수 있다.당신은 무슨 직업을 고르겠는가?""네크로맨서""나에게는 멸망이 무대이고, 죽음이 자산이 된다.",1014,68.0,2022.09.21,2022.11.23,1,9.6,0,2,https://shared-comic.pstatic.net/thumb/webtoon/780170/thumbnail/thumbnail_IMAG10_515ac2c3-ba65-43bf-9680-3e9cf6d81cbc.jpg
221,222,나 혼자 만렙 뉴비,https://comic.naver.com/webtoon/list?titleId=773797,0,WAN.Z / 스윙뱃 / 메슬로우,"게임 너튜버로 활동 중인 주인공 진혁은 유일하게 [시련의 탑]의 엔딩을 봤지만, 게임의 인기가 하락하며 더 이상 게임 너튜버로서의 삶도 유지하기 힘들어진다.엔딩을 보았기에 이대로 게임을 마무리하려는 진혁. 바로 그날, [시련의 탑]은 현실이 되었다.게임의 모든 요소를 다 알고 있는 진혁은 누구보다 빠르게 모든 것을 차지한다!""진짜 고인물이 뭔지 보여주지.""","게임 너튜버로 활동 중인 주인공 진혁은 유일하게 [시련의 탑]의 엔딩을 봤지만, 게임의 인기가 하락하며 더 이상 게임 너튜버로서의 삶도 유지하기 힘들어진다.엔딩을 보았기에 이대로 게임을 마무리하려는 진혁. 바로 그날, [시련의 탑]은 현실이 되었다.게임의 모든 요소를 다 알고 있는 진혁은 누구보다 빠르게 모든 것을 차지한다!""진짜 고인물이 뭔지 보여주지.""",2798,76.0,2022.09.22,2022.11.24,2,9.8,0,2,https://shared-comic.pstatic.net/thumb/webtoon/773797/thumbnail/thumbnail_IMAG10_47682705-9b27-4d0e-a8dc-33f57dfe8667.jpg
222,223,나 홀로 섬에,https://comic.naver.com/webtoon/list?titleId=801740,1,신갓김치 / 짱9,"가족과 섬으로 캠핑을 온 '지오'는 폭풍우로 인해 유일하게 사람이 사는 펜션에서 숙식을 해결하기로 하는데, 펜션 직원의 불친절에 불편함을 느끼던 그날 밤 살인사건이 일어난다.","가족과 섬으로 캠핑을 온 '지오'는 폭풍우로 인해 유일하게 사람이 사는 펜션에서 숙식을 해결하기로 하는데, 펜션 직원의 불친절에 불편함을 느끼던 그날 밤 살인사건이 일어난다.",0,50.0,2022.10.31,2022.10.31,0,8.3,0,3,https://shared-comic.pstatic.net/thumb/webtoon/801740/thumbnail/thumbnail_IMAG10_dce6abcb-9669-4d61-8667-2b87e6972a3e.jpg
223,224,나노리스트,https://comic.naver.com/webtoon/list?titleId=670150,1,민송아,"내게 날아온 달콤살벌한 선물 나노 안드로이드들의 비밀을 밝혀라! 어느 날 주인공 안도진의 누나 안도화가 자살했다. 장례식에서 안도진은 죽은 누나 안도화의 유품으로 부족하지 않은 금액이 들어있는 통장과 살고 있는 집 계약서, 어른들의 명함 몇 장, 그리고 안도화가 남긴 편지를 건네받았다. 편지에서는 고등학생이 되는 생일 날 큰 리본을 달은 선물을 보내준다고 써 있었다.

5년 후, 안도진이 고등학생 생일이 되기 하루전 날. 안도진은 가사 안드로이드 산과 함께 살고 있었다. 요즘 이슈가 되고 있는 뉴스는 '안드로이드 연쇄 습격 사건'이였다. 벌써 7번째 피해 안드로이드 발생. 습격 받은 안드로이드들은 전신들이 망가져 있었고, 안구는 한 쪽만이 사라져 있었다.

주인공은 집으로 돌아온 후, 생일을 준비한다. 그러던 중 밤 12시가 되자 초인종이 울리고 안도진은 누나가 남긴 편지를 기억해 문을 열어준다. 리본을 단 안드로이드는 자신을 '나노' 라고 소개하며 안도진의 생일선물이라고 밝힌다. 이때 안드로이드의 감추어진 왼손이 점점 검게 변한다.",내게 날아온 달콤살벌한 선물 나노 안드로이드들의 비밀을 밝혀라!,100000,149.0,2016.02.05,2016.04.08,1,9.7,0,2,https://shared-comic.pstatic.net/thumb/webtoon/670150/thumbnail/title_thumbnail_20160122200146_t83x90.jpg
224,225,나노마신,https://comic.naver.com/webtoon/list?titleId=747271,0,현절무 / 금강불괴 / 한중월야,"갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운, 미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 시작된다! 마교의 소교주가 되기까지 서열 순위 최하위에 해당하는 천여운.
지지리도 운이 없는 그의 인생이 송두리째 바뀐다.
어느날 갑자기 미래에서 나타난 후손이 그에게 나노 머신을 주입했다.","갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운, 미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 시작된다!",57907,132.0,2022.09.21,2022.11.23,2,9.8,0,7,https://shared-comic.pstatic.net/thumb/webtoon/747271/thumbnail/thumbnail_IMAG10_0a56d153-5521-4ca8-9665-a4450c6fb40d.jpg
225,226,나는 귀머거리다,https://comic.naver.com/webtoon/list?titleId=659934,1,라일라,"대한민국에서 청각장애인이 살아가는 이야기 청각장애가 주요 소재라는것, 그리고 작가 본인이 청각장애인이라는 것이다. 그것도 선천적으로. 그녀의 두 귀 청력 손실은 113데시벨로, 양쪽 귀가 전혀 들리지 않는다. 그 이상 큰 소리도 진동으로만 느껴질 정도로 청신경이 심각하게 죽어있어서, 본인이 언급하길 뒤에서 축제가 벌어져도 모르는 수준이라고.
하지만 내용은 그리 어두운 분위기가 아닌 일상툰으로, 작가가 청각장애인으로서 일반적으로 겪을 수 있는 일들(대부분 실화라고 한다.)을 오히려 재미있고 재치있게 묘사해서 공감을 일으킨다. 동시에 장애와 장애로 인한 불편에 대한 내용이 많아 결국 슬프고 씁쓸하면서도 웃게 만들어서 또 그 와중에서도 공감을 산다. 또한 귀여운 그림체와 앙증맞은 동물 캐릭터를 등장인물로 출연시켜 보는 사람들로 하여금 힐링이 되도록 하는 웹툰",대한민국에서 청각장애인이 살아가는 이야기,100000,202.0,2017.06.09,2017.07.11,0,9.97,1,6,https://shared-comic.pstatic.net/thumb/webtoon/659934/thumbnail/title_thumbnail_20150729142305_t83x90.jpg
226,227,나는 남 너는 녀,https://comic.naver.com/webtoon/list?titleId=721920,1,녹밤,"눈을 떠보니 너와 나의 성별이 바뀌었다?! 지금까지와는 다른 삶을 살게 될 주인공들과, 지금까지의 삶에 너무 익숙해져 있던 주인공 친구들의 다사다난한 학교생활!","눈을 떠보니 너와 나의 성별이 바뀌었다?! 지금까지와는 다른 삶을 살게 될 주인공들과, 지금까지의 삶에 너무 익숙해져 있던 주인공 친구들의 다사다난한 학교생활!",81931,21.0,2019.01.04,2019.02.01,0,9.7,0,5,https://shared-comic.pstatic.net/thumb/webtoon/721920/thumbnail/thumbnail_IMAG10_e3cc0544-d1e4-4447-930c-393aea042228.jpg
227,228,나는 너를 보았다,https://comic.naver.com/webtoon/list?titleId=628876,1,모래인간 / 티오비,"딸이 탄 지하철이 피투성이가 되어 나타났다?!모든 것을 목격한, 혹은 아무것도 목격하지 않은 사람들의 이야기. 스토리 진행이 2가지 타임라인이 교차적으로 배열되어 있어 사건전개 순서파악이 쉽지 않다","딸이 탄 지하철이 피투성이가 되어 나타났다?!모든 것을 목격한, 혹은 아무것도 목격하지 않은 사람들의 이야기.",40893,76.0,2014.07.01,2014.08.12,0,9.2,0,3,https://shared-comic.pstatic.net/thumb/webtoon/628876/thumbnail/title_thumbnail_20140708190659_t83x90.jpg
228,229,나는 어디에 있는 거니,https://comic.naver.com/webtoon/list?titleId=72498,1,서나래,"무작정 떠나고 본다!!여행 준비부터 엉망진창,낢이 들려주는 네팔 여행기","무작정 떠나고 본다!!여행 준비부터 엉망진창,낢이 들려주는 네팔 여행기",433,30.0,2009.09.09,2009.10.11,0,9.87,2,6,https://shared-comic.pstatic.net/thumb/webtoon/72498/thumbnail/title_thumbnail_20090629120604_t83x90.jpg
229,230,나는 어디에나 있다,https://comic.naver.com/webtoon/list?titleId=771063,0,김선권,"수많은 사람들이 죽었던  여러 대형사고 현장에 동일 인물이 계속 발견된다. 그게... 기억에 없는 나라면? 그 영상을 보는 순간 평범했던 청년 류준의 일상은 완전히 뒤바뀐다. 과연 류준은 사라진 기억의 비밀을 풀고 평범한 일상을 되찾을 수 있을까... 다섯 명의 평범한 삶을 살고 있었던 사람들이 일련의 상황을 거치며, 기억에는 없는 또 다른 '나'가 다수의 사람이 죽어나가는 사건사고의 배후일지도 모른다는 의심을 가진다. 이들이 진실을 알아내기 위해 사투를 벌이는 내용이다. 나PD는 다큐멘터리 편집 중 몇 개의 관계없는 대형 사고 현장에서
동일 인물로 추정되는 사람을 발견한다. 심지어 한 명이 아니었다.
그들은 왜 거기에 있었고, 정체는 무엇일까.
의문의 사건과 관련된 거대 종교단체의 비밀을 파헤치는 미스터리 스릴러",수많은 사람들이 죽었던  여러 대형사고 현장에 동일 인물이 계속 발견된다. 그게... 기억에 없는 나라면? 그 영상을 보는 순간 평범했던 청년 류준의 일상은 완전히 뒤바뀐다. 과연 류준은 사라진 기억의 비밀을 풀고 평범한 일상을 되찾을 수 있을까...,487,82.0,2022.09.19,2022.11.21,2,9.85,0,3,https://shared-comic.pstatic.net/thumb/webtoon/771063/thumbnail/thumbnail_IMAG10_c8ae7ff8-dc8c-4800-8e2b-5a46cd504b04.jpg
230,231,나는 여왕이다,https://comic.naver.com/webtoon/list?titleId=797728,0,율페 / 로사린,"고생만 하다 죽은 책 속 주인공 오필리아를 답답하다 느끼던 중, 갑자기 말을 걸어온 오필리아에 의해 빙의하게 된다.여주의 몸으로 깨어났는데 다행히 아직 막장으로 흘러가기 전.미래의 오필리아를 만나 자신이 여왕이 된 모습을 봤다며 미래를 바꿀 도박을 시작한다.여러 시련과 고난 속 여왕이 되었지만 이 후 미래는 알지 못하는데....","고생만 하다 죽은 책 속 주인공 오필리아를 답답하다 느끼던 중, 갑자기 말을 걸어온 오필리아에 의해 빙의하게 된다.여주의 몸으로 깨어났는데 다행히 아직 막장으로 흘러가기 전.미래의 오필리아를 만나 자신이 여왕이 된 모습을 봤다며 미래를 바꿀 도박을 시작한다.여러 시련과 고난 속 여왕이 되었지만 이 후 미래는 알지 못하는데....",16,33.0,2022.07.19,2022.07.19,0,9.5,0,0,https://shared-comic.pstatic.net/thumb/webtoon/797728/thumbnail/thumbnail_IMAG10_1204f551-2114-4474-b0f3-b7bcc4e4f775.jpg
231,232,나라 구한 전생,https://comic.naver.com/webtoon/list?titleId=778741,1,양키풀,"아버지의 빚 문제로 폐공장에 납치되어 있던 한자인은 재수 좋은 남자 천운조의 등장으로 무사히 풀려나게 된다. 며칠 후, 새 학기가 시작되고 신입생 한자인은 자신의 학교에서 천운조와 그의 친구들을 만나게 된다. 자신들을 전생에 나라를 구한 영웅이라고 소개하는 천운조와 친구들, 그들의 특별한 능력을 눈으로 볼 수 있는 한자인, 그리고 한자인을 노리는 수수께끼의 인물까지. 전생을 기억하는 능력자들과 그 중심에 있는 한자인, 그들에게 과연 어떤 운명이 기다리고 있을까?","아버지의 빚 문제로 폐공장에 납치되어 있던 한자인은 재수 좋은 남자 천운조의 등장으로 무사히 풀려나게 된다. 며칠 후, 새 학기가 시작되고 신입생 한자인은 자신의 학교에서 천운조와 그의 친구들을 만나게 된다. 자신들을 전생에 나라를 구한 영웅이라고 소개하는 천운조와 친구들, 그들의 특별한 능력을 눈으로 볼 수 있는 한자인, 그리고 한자인을 노리는 수수께끼의 인물까지. 전생을 기억하는 능력자들과 그 중심에 있는 한자인, 그들에게 과연 어떤 운명이 기다리고 있을까?",5,50.0,2021.09.27,2021.09.27,0,9.8,0,1,https://shared-comic.pstatic.net/thumb/webtoon/778741/thumbnail/thumbnail_IMAG10_cd74c2d1-4a70-4bc0-bb97-c8cb082b0a82.jpg
232,233,나란의사 그런의사,https://comic.naver.com/webtoon/list?titleId=387517,1,유성연,"한국에 숨겨진 무병장수마을 치웅리.
그곳에 돈밝히는 속물의사 이대환이 병원을 차렸다!","한국에 숨겨진 무병장수마을 치웅리.
그곳에 돈밝히는 속물의사 이대환이 병원을 차렸다!",1215,13.0,2011.10.01,2011.10.24,0,9.9,0,1,https://shared-comic.pstatic.net/thumb/webtoon/387517/thumbnail/title_thumbnail_20110930202527_t83x90.jpg
233,234,나랑 살래?,https://comic.naver.com/webtoon/list?titleId=756054,1,은희,"만 20살의 생일날 친척 집에서 쫓겨나 거리를 걷던 중 '귀신의 집'으로 소문난 집 앞에서 잡귀들에게 쫓겨난 두 귀신을 마주하게 된 노을. '귀신의 집'을 싸게 구입해 잡귀들을 몰아내고 두 귀신과의 동거를 시작하게 된다! 3년 전 의문의 사고로 죽게 된 후 저승 버스를 타고 가던 중, 버스에서 내려 이승을 헤매게 되었다는 두 귀신은 자신들의 이름과 이승에 만나야 할 사람이 있다는 것 외에는 기억이 없고...대학을 휴학하고 아르바이트를 구하던 노을은 우연히 마주친 박수무당 만복의 제안으로 인기 신인배우 도한이 소속된 회사에서 퇴마의 일을 하게 되고, 그러던 중 마주한 도한에게 난생처음 두근거림을 느끼게 되는데...!","만 20살의 생일날 친척 집에서 쫓겨나 거리를 걷던 중 '귀신의 집'으로 소문난 집 앞에서 잡귀들에게 쫓겨난 두 귀신을 마주하게 된 노을. '귀신의 집'을 싸게 구입해 잡귀들을 몰아내고 두 귀신과의 동거를 시작하게 된다! 3년 전 의문의 사고로 죽게 된 후 저승 버스를 타고 가던 중, 버스에서 내려 이승을 헤매게 되었다는 두 귀신은 자신들의 이름과 이승에 만나야 할 사람이 있다는 것 외에는 기억이 없고...대학을 휴학하고 아르바이트를 구하던 노을은 우연히 마주친 박수무당 만복의 제안으로 인기 신인배우 도한이 소속된 회사에서 퇴마의 일을 하게 되고, 그러던 중 마주한 도한에게 난생처음 두근거림을 느끼게 되는데...!",86,51.0,2020.10.19,2020.10.19,0,9.5,0,0,https://shared-comic.pstatic.net/thumb/webtoon/756054/thumbnail/thumbnail_IMAG10_8edc801f-ad20-462a-8776-c16995a45ae2.jpg
234,235,"나를 길들여 봐, 차비서",https://comic.naver.com/webtoon/list?titleId=776134,1,홍주 / 글쓰는 귀신,"개망나니 재벌2세를 사람 만들면 3억을 받는다!뛰어난 외모와 우월한 피지컬을 가졌지만 망나니처럼 행동하는재벌2세 강주원을 간신히 사람 구실하게 만들어놨더니,나 좋다고 달려드니 이를 어째!돈만을 위해 악착같이 살아온 차영애는 3억과 사랑 사이에서갈피를 잡기 어렵다.","개망나니 재벌2세를 사람 만들면 3억을 받는다!뛰어난 외모와 우월한 피지컬을 가졌지만 망나니처럼 행동하는재벌2세 강주원을 간신히 사람 구실하게 만들어놨더니,나 좋다고 달려드니 이를 어째!돈만을 위해 악착같이 살아온 차영애는 3억과 사랑 사이에서갈피를 잡기 어렵다.",218,69.0,2021.07.16,2021.07.30,2,9.7,0,0,https://shared-comic.pstatic.net/thumb/webtoon/776134/thumbnail/thumbnail_IMAG10_d40b012a-a192-4bf5-8019-7be48d5e983e.jpg
235,236,나를 바꿔줘,https://comic.naver.com/webtoon/list?titleId=733280,0,이지호 / 호띠,"수상한 생명보험에 드는 조건으로, 하루 아침에 내가 원하는 외모로 살 수 있게 된다면? 인생을 바꾸기 위해 얼굴을 훔치다! 외모를 바꿔주는 생명보험을 소재로 하며 목적을 이루기 위해 외모를 바꾸고 싶어하는 인물들과 그 인물과의 계약을 통해 외모를 바꿔주는 비밀스러운 조직의 이야기를 다룬다. 또한 악역 캐릭터는 모두 잘못에 대한 대가를 받고 몰락하는 전개를 많이 보여주기 때문에 권선징악적인 요소도 많이 포함되어 있다.

어려움을 겪고 있는 사람들을 주인공이 미리 조사한 후 찾아가서 자신의 생명보험에 가입하게 한 후, 외모를 계약자가 원하는 모습으로 바꿔준다.

주인공이 제시하는 사진과 신체사항이 첨부된 프로필 3장 중에서 바꿀 외모를 고를 수 있으며 주인공이 계약자에게 사진으로 보여주는 인물들은 원래 존재하는 인물들이기에 계약자는 자신이 고른 인물의 도플갱어가 된다. 단 생체 정보는 변하지 않는다.

또한 계약자는 자신의 원본에 해당하는 인물과 눈이 마주칠 경우 죽게 된다.","수상한 생명보험에 드는 조건으로, 하루 아침에 내가 원하는 외모로 살 수 있게 된다면? 인생을 바꾸기 위해 얼굴을 훔치다!",88387,172.0,2022.09.16,2022.11.18,2,9.4,0,1,https://shared-comic.pstatic.net/thumb/webtoon/733280/thumbnail/thumbnail_IMAG10_6e31cdd0-a6be-4929-ac5b-b676997ad8a5.jpg
236,237,나만 보여!,https://comic.naver.com/webtoon/list?titleId=763308,1,LICO,"학교 익명게시판이 나에게만 실명으로 보인다면?교내 익명 어플 ‘몰래몰래’에는 여러 가지 비밀들이 매일 익명으로 올라온다.10년째 소꿉친구인 '하영'을 짝사랑 중인 '민준'은 '몰래몰래' 다운로드 중 생긴 오류로 인해 익명 게시글들이 모두 실명으로 보이게 되고, '하영'의 남자친구인 '기주'가 바람피우고 있다는 충격적인 사실을 알게 되는데...","학교 익명게시판이 나에게만 실명으로 보인다면?교내 익명 어플 ‘몰래몰래’에는 여러 가지 비밀들이 매일 익명으로 올라온다.10년째 소꿉친구인 '하영'을 짝사랑 중인 '민준'은 '몰래몰래' 다운로드 중 생긴 오류로 인해 익명 게시글들이 모두 실명으로 보이게 되고, '하영'의 남자친구인 '기주'가 바람피우고 있다는 충격적인 사실을 알게 되는데...",4645,,2021.01.09,2021.02.13,2,8.6,0,1,https://shared-comic.pstatic.net/thumb/webtoon/763308/thumbnail/thumbnail_IMAG10_4e7b1c98-9a35-4f3d-a2d4-47e4632d97a7.jpg
237,238,나만의 고막남친,https://comic.naver.com/webtoon/list?titleId=788170,0,비로 / 팀 노란 / 이혜율,"세상과 담쌓은 19금 로맨스 작가 나마네,10여 년 전 가수 재이의 섹시한 저음에 꽂힌 이후단 하루도 거르지 않고 그의 노래를 들었다.그리고 오늘…처음 본 남자에게서 재이의 목소리를 들었다.“그렇게 안 먹으니까 비쩍 말랐지. 주위 사람 걱정시킬 나이는 아니잖아?”예쁜 입으로 밉게 말하는 이상한 사람.그래도…저 목소리로 꼭 듣고 싶은 말이 있다.","세상과 담쌓은 19금 로맨스 작가 나마네,10여 년 전 가수 재이의 섹시한 저음에 꽂힌 이후단 하루도 거르지 않고 그의 노래를 들었다.그리고 오늘…처음 본 남자에게서 재이의 목소리를 들었다.“그렇게 안 먹으니까 비쩍 말랐지. 주위 사람 걱정시킬 나이는 아니잖아?”예쁜 입으로 밉게 말하는 이상한 사람.그래도…저 목소리로 꼭 듣고 싶은 말이 있다.",222,50.0,2022.09.18,2022.11.20,1,9.6,0,0,https://shared-comic.pstatic.net/thumb/webtoon/788170/thumbnail/thumbnail_IMAG10_fa3f25fa-0d85-47b8-889f-8efafac6bb04.jpg
238,239,나쁜 마법사의 꿈,https://comic.naver.com/webtoon/list?titleId=787729,0,이아거,"평범한 중학생 '이대아', 집에서 도망치고 싶어 아무 기숙고등학교에 원서를 넣었다. 그런데 알고 보니 이곳은 예술 고등학교로 위장한 마법학교였고, 전혀 상관없는 곳인 줄 알았던 이 학교에서 ‘이대아’와 얽힌 비밀이 드러나기 시작한다! “나는 마법사인 척 모두를 속여 이 학교에 남아야 해. 무슨 방법을 써서라도.""","평범한 중학생 '이대아', 집에서 도망치고 싶어 아무 기숙고등학교에 원서를 넣었다. 그런데 알고 보니 이곳은 예술 고등학교로 위장한 마법학교였고, 전혀 상관없는 곳인 줄 알았던 이 학교에서 ‘이대아’와 얽힌 비밀이 드러나기 시작한다! “나는 마법사인 척 모두를 속여 이 학교에 남아야 해. 무슨 방법을 써서라도.""",286,50.0,2022.09.21,2022.11.23,0,8.5,0,2,https://shared-comic.pstatic.net/thumb/webtoon/787729/thumbnail/thumbnail_IMAG10_4cbc0e61-37ed-4be4-8e57-ce3790856c6d.jpg
239,240,나쁜 쪽으로,https://comic.naver.com/webtoon/list?titleId=739350,1,오은 / 이세릴,학급 회비를 훔친 오해를 받는 선에게 마리는 책임을 묻는 대신 기묘한 제안을 한다. 그것은 구원의 손길이었을까 지상최대공모전 장려상 수상작! <나쁜 쪽으로>,학급 회비를 훔친 오해를 받는 선에게 마리는 책임을 묻는 대신 기묘한 제안을 한다. 그것은 구원의 손길이었을까 지상최대공모전 장려상 수상작! <나쁜 쪽으로>,34796,116.0,2020.02.20,2020.03.26,1,9.8,0,1,https://shared-comic.pstatic.net/thumb/webtoon/739350/thumbnail/thumbnail_IMAG10_3ea28f5f-ee09-4fc0-8771-30572c72cb05.jpg
240,241,나쁜 피,https://comic.naver.com/webtoon/list?titleId=800360,0,산하 / 이재복,대부분의 인간은 모르지만…그간 설화나 전설이나 신화 속에 등장하는 괴수(?)들은 실존하고 있었다.심지어는 인간과의 영역을 공유하며 함께 살아가고 있다.인간적 입장에서 그들은 흉폭한 변이체였고…그들의 관점에서 인간은 초라한 하급 생명체였다.그들이 세상에 드러나지 않는 이유는 한 가지 뿐이다.바로… ‘관리’ 받고 있기 때문이었다.절대적 존재에 의해…!그리고 오늘…인류 역사상 가장 허약한 히어로의 등장과 함께 그 경계선이 무너진다.모두의 파멸이 시작된 것이다.,대부분의 인간은 모르지만…그간 설화나 전설이나 신화 속에 등장하는 괴수(?)들은 실존하고 있었다.심지어는 인간과의 영역을 공유하며 함께 살아가고 있다.인간적 입장에서 그들은 흉폭한 변이체였고…그들의 관점에서 인간은 초라한 하급 생명체였다.그들이 세상에 드러나지 않는 이유는 한 가지 뿐이다.바로… ‘관리’ 받고 있기 때문이었다.절대적 존재에 의해…!그리고 오늘…인류 역사상 가장 허약한 히어로의 등장과 함께 그 경계선이 무너진다.모두의 파멸이 시작된 것이다.,17,23.0,2022.09.16,2022.09.16,1,10.0,0,4,https://shared-comic.pstatic.net/thumb/webtoon/800360/thumbnail/thumbnail_IMAG10_783ec6ce-54dc-4d82-94c2-f142bf9e1a70.jpg
241,242,나쁜사람,https://comic.naver.com/webtoon/list?titleId=750184,0,둠스,"착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀...오늘부터 난... 나쁜 남자로 다시 태어난다. 유명 조직폭력배 두목의 아들인 강지웅이 짝사랑 상대 수진의 이상형에 맞춰서 '착하고 다정한 남자'로 살기 위해 노력하다가 갑작스러운 그녀의 변심으로 인해 다시 '나쁜 남자'가 되기 위해 노력한다는 이야기를 그린다.

사실 나쁜 남자라고 하면 여성에게 어느 정도 거리를 두며, 시원한 성격을 가진 호감형의 남성을 지칭하는 건데, 작품 속 나쁜 남자의 정의는 진짜 폭력 등의 범죄를 저지르는 '나쁜 사람'으로 설정되어 있어 상식을 벗어나는 점, 강지웅의 본성이 착해 지향하는 자신의 모습과 충돌하는 점이 주요 웃음 포인트이다. 지웅의 첫사랑인 수진이 생각하는 나쁜 남자의 정의도 꽤 상식을 벗어나는 수준인데 불우한 가정환경과 불안정한 정신상태가 합쳐져서 힘을 자랑하는 범죄자에게 끌려하는 모습을 보여준다.

결국 착한 심성과 나쁜 행동을 하려는 생각이 충돌하면서 갈등하다가 '나쁜 사람을 모조리 제압하면 본인이 가장 나쁜 사람'이라는 결론을 내리면서 본인이 재학 중인 지란고등학교를 포함한 지역 내 일진을 소탕하려는 야심을 품는다. 지웅은 목표를 이루고 첫사랑 수진의 마음을 자신에게로 향하게 만들 수 있을 지, 과연 이대로 아버지의 조직폭력단을 물려 받을 지 살펴보는 것이 이야기의 중심인 만화이다.",착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀...오늘부터 난... 나쁜 남자로 다시 태어난다.,89311,124.0,2022.09.20,2022.11.22,1,9.8,1,4,https://shared-comic.pstatic.net/thumb/webtoon/750184/thumbnail/thumbnail_IMAG10_113cf716-dc7d-4f97-b6a9-a904b55c0ff4.jpg
242,243,나의 계절,https://comic.naver.com/webtoon/list?titleId=774039,0,박수민,승재는 친구의 부탁에 못 이겨 같은 반 봄이와 장난삼아 사귀게 된다.시간이 갈수록 예상치 못 한 봄이의 매력에 승재는 끌림을 느끼면서도마지막 순간에 떠 밀리듯 최악의 선택을 하고 마는데...승재는 이 때만 해도 알지 못했다. 봄을 시작으로 잊지 못할 계절들을 보내게 될 줄은.,승재는 친구의 부탁에 못 이겨 같은 반 봄이와 장난삼아 사귀게 된다.시간이 갈수록 예상치 못 한 봄이의 매력에 승재는 끌림을 느끼면서도마지막 순간에 떠 밀리듯 최악의 선택을 하고 마는데...승재는 이 때만 해도 알지 못했다. 봄을 시작으로 잊지 못할 계절들을 보내게 될 줄은.,241,81.0,2022.09.20,2022.11.22,2,9.5,0,0,https://shared-comic.pstatic.net/thumb/webtoon/774039/thumbnail/thumbnail_IMAG10_a2f715ce-cb5e-41e2-ad07-2c952fe50e26.jpg
