,no,title,link,status,author,fake_intro,real_intro,likes,episodes,first_register_date,last_register_date,age,rate,genre1_pre,genre2_pre,thumb_link
1850,1851,허니버니,https://comic.naver.com/webtoon/list?titleId=719277,1,소금,토끼가 남자로 보이기 시작했다.,토끼가 남자로 보이기 시작했다.,96924,39.0,2018.11.20,2018.12.04,0,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/719277/thumbnail/thumbnail_IMAG10_ec6a12ad-271b-415a-a66d-5fab92c55b0a.jpg
1851,1852,허니허니 웨딩,https://comic.naver.com/webtoon/list?titleId=697537,1,문나영 / 노승아,어느 날 예비고3 신해수에게 들이닥친 결혼?! 상대는 독사 최혁준 쌤?띠동갑 커플 해수와 혁준의 서툴지만 달달한 선결혼 후연애 러브 스토리.,어느 날 예비고3 신해수에게 들이닥친 결혼?! 상대는 독사 최혁준 쌤?띠동갑 커플 해수와 혁준의 서툴지만 달달한 선결혼 후연애 러브 스토리.,100000,116.0,2017.06.10,2017.07.29,0,9.8,0,0,https://shared-comic.pstatic.net/thumb/webtoon/697537/thumbnail/thumbnail_IMAG10_b3568141-bbd3-4bd2-85fd-7996263ad332.jpg
1852,1853,헌터 잭,https://comic.naver.com/webtoon/list?titleId=791675,0,호야,*<헌터 잭>은 격주로 연재됩니다.*황폐한 땅 한복판에 버려진 빈민촌. 잭이 살고 있는 마을에 도시개발업자들이 나타나 떠날 것을 요구한다. 가진거라곤 빚과 빈곤함 뿐. 당장 3개월 뒤에 떠나기는 턱없이 부족한 재산이다.그러던 그에게 찾아온 우연한 기회.  뱀파이어 헌터로 살면 제법 돈을 벌 수 있다고 한다. 더 이상 물러날 곳 없던 그는 앞뒤 가릴 것 없이 헌터로서의 삶에 뛰어들게 된다,*<헌터 잭>은 격주로 연재됩니다.*황폐한 땅 한복판에 버려진 빈민촌. 잭이 살고 있는 마을에 도시개발업자들이 나타나 떠날 것을 요구한다. 가진거라곤 빚과 빈곤함 뿐. 당장 3개월 뒤에 떠나기는 턱없이 부족한 재산이다.그러던 그에게 찾아온 우연한 기회.  뱀파이어 헌터로 살면 제법 돈을 벌 수 있다고 한다. 더 이상 물러날 곳 없던 그는 앞뒤 가릴 것 없이 헌터로서의 삶에 뛰어들게 된다,11,32.0,2022.03.05,2022.03.05,1,9.9,0,4,https://shared-comic.pstatic.net/thumb/webtoon/791675/thumbnail/thumbnail_IMAG10_8dc89d8f-57a7-4c0f-9119-81fe5cbbb1e0.jpg
1853,1854,헌팅,https://comic.naver.com/webtoon/list?titleId=756063,1,은성 / 전영륜,"과거에 엑소시스트로 유명했던 목사 에스틴, 에스틴은 악마와의 싸움을 통해 부와 명예를 얻었지만 결국 모든 걸 잃고 교도소에 갇히는 신세가 된다.매일매일 기자와 영화제작자와 싸우며 교도소의 생활에 익숙해진 에스틴, 그런 그에게 과거 자신을 변호했던 변호사가 찾아온다. 변호사는 자신의 딸에게 악령이 깃들었다며 에스틴에게 도움을 요청을 하고 에스틴은 결국 악마와 다시 만나기 위해 교도소를 떠나는데…","과거에 엑소시스트로 유명했던 목사 에스틴, 에스틴은 악마와의 싸움을 통해 부와 명예를 얻었지만 결국 모든 걸 잃고 교도소에 갇히는 신세가 된다.매일매일 기자와 영화제작자와 싸우며 교도소의 생활에 익숙해진 에스틴, 그런 그에게 과거 자신을 변호했던 변호사가 찾아온다. 변호사는 자신의 딸에게 악령이 깃들었다며 에스틴에게 도움을 요청을 하고 에스틴은 결국 악마와 다시 만나기 위해 교도소를 떠나는데…",50,118.0,2020.11.02,2020.11.02,0,9.8,0,3,https://shared-comic.pstatic.net/thumb/webtoon/756063/thumbnail/thumbnail_IMAG10_119e33d4-1988-4508-8159-7097ea2504ce.jpg
1854,1855,헤어지면 죽음,https://comic.naver.com/webtoon/list?titleId=783861,0,봄소희 / KYMA,"완벽한 인플루언서의 삶. 좋아하는 여자와의 썸.고백만이 남았는데 황당한 테러 사건에 휘말렸다?!""집착이 아니라 진짜로 우리..! 헤어지면 죽어!!""","완벽한 인플루언서의 삶. 좋아하는 여자와의 썸.고백만이 남았는데 황당한 테러 사건에 휘말렸다?!""집착이 아니라 진짜로 우리..! 헤어지면 죽어!!""",484,59.0,2022.09.13,2022.11.22,2,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/783861/thumbnail/thumbnail_IMAG10_63956c8e-ad91-46cd-993d-55a1ba89c987.jpg
1855,1856,헤어진 다음날,https://comic.naver.com/webtoon/list?titleId=783592,1,남지은 / 김인호,"누구나 사랑을 하고, 이별을 한다. 지극히도 평범한 한 남자와 여자의 연애와 사랑, 그리고 이별 후의 일상.","누구나 사랑을 하고, 이별을 한다. 지극히도 평범한 한 남자와 여자의 연애와 사랑, 그리고 이별 후의 일상.",9,32.0,2021.11.08,2021.11.08,0,9.7,0,1,https://shared-comic.pstatic.net/thumb/webtoon/783592/thumbnail/thumbnail_IMAG10_2735f592-f6da-4d00-b6ad-d2e5a9eae5f3.jpg
1856,1857,헥토파스칼,https://comic.naver.com/webtoon/list?titleId=799250,0,버퍼링 / 길성근,"전설로 불리던 싸움꾼 박한준.더 이상 잃을 것도 없어 좌절하던 그에게 막대한 돈이 주어진다.눈 에는 눈, 이 에는 이!내가 당한 것만큼 반드시 되갚아 주겠다!받은 것보다 더 돌려주는 통쾌한 복수,그의 거침없는 분노가 폭발한다!","전설로 불리던 싸움꾼 박한준.더 이상 잃을 것도 없어 좌절하던 그에게 막대한 돈이 주어진다.눈 에는 눈, 이 에는 이!내가 당한 것만큼 반드시 되갚아 주겠다!받은 것보다 더 돌려주는 통쾌한 복수,그의 거침없는 분노가 폭발한다!",150,19.0,2022.09.19,2022.11.21,1,9.9,0,4,https://shared-comic.pstatic.net/thumb/webtoon/799250/thumbnail/thumbnail_IMAG10_2fe7c08b-118d-47c2-808e-3bd50c633943.jpg
1857,1858,헬 인 파라다이스,https://comic.naver.com/webtoon/list?titleId=761247,1,비열한 호떡 / -2℃,"부모를 모르며 어렵게 자란 고2 여학생 조지아. 주변 사람들에게 멸시를 받고 그 흔한 아르바이트 자리도 구하기 쉽지 않은, 정말 말 그대로 되는 게 없는 인생을 살고 있다. 그런 인생을 한탄하던 중 갑자기 지옥 사자가 앞에 나타나고, 영혼을 대가로 소원을 이루어주겠다고 한다. 계약을 하려던 그때, 하늘에서 천국 지사가 나타나며 이중계약이 되어버리는데?!","부모를 모르며 어렵게 자란 고2 여학생 조지아. 주변 사람들에게 멸시를 받고 그 흔한 아르바이트 자리도 구하기 쉽지 않은, 정말 말 그대로 되는 게 없는 인생을 살고 있다. 그런 인생을 한탄하던 중 갑자기 지옥 사자가 앞에 나타나고, 영혼을 대가로 소원을 이루어주겠다고 한다. 계약을 하려던 그때, 하늘에서 천국 지사가 나타나며 이중계약이 되어버리는데?!",19,72.0,2020.12.21,2020.12.21,0,9.8,0,0,https://shared-comic.pstatic.net/thumb/webtoon/761247/thumbnail/thumbnail_IMAG10_1ebdd437-87db-43ef-920e-18f9048fd47c.jpg
1858,1859,헬58,https://comic.naver.com/webtoon/list?titleId=719508,0,장성준,"약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?","약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?",79068,194.0,2022.09.19,2022.11.21,3,9.6,0,4,https://shared-comic.pstatic.net/thumb/webtoon/719508/thumbnail/thumbnail_IMAG10_7588cd34-ae5d-4b49-aeb7-21404d7503ef.jpg
1859,1860,헬로 미스터 테디,https://comic.naver.com/webtoon/list?titleId=622639,1,아지,"흑곰보다 험악한 인상을 가진 뒷 세계의 지배자
그에게는 은밀하고도 깜찍한 취미가 있다?!
<2013 대학만화 최강자전> 8강 진출작!","흑곰보다 험악한 인상을 가진 뒷 세계의 지배자
그에게는 은밀하고도 깜찍한 취미가 있다?!
<2013 대학만화 최강자전> 8강 진출작!",34054,13.0,2014.05.28,2014.07.30,0,9.94,0,5,https://shared-comic.pstatic.net/thumb/webtoon/622639/thumbnail/title_thumbnail_20140507182416_t83x90.jpg
