,user,webtoon_title,score
107,19,상남자,4.0
108,19,시체기사 군터,1.0
109,19,압락사스,1.0
110,19,연애혁명,4.0
111,19,외모지상주의,2.0
112,19,윈드브레이커,3.0
113,19,이두나!,4.0
114,19,일렉시드,4.0
115,19,잔불의 기사,3.0
116,19,장씨세가 호위무사,3.0
117,19,전지적 독자 시점,3.0
118,19,제왕: 빛과 그림자,4.0
119,19,참교육,3.0
120,19,퀘스트지상주의,3.0
121,19,튜토리얼 탑의 고인물,3.0
122,20,격기3반,4.0
123,20,격투기특성화사립고교 극지고,5.0
124,20,고수,4.0
125,20,김부장,6.0
126,20,마음의소리,5.0
127,20,말년용사,6.0
128,20,별이삼샵,5.0
129,20,빌드업,6.0
130,20,선천적 얼간이들,5.0
131,20,심심한 마왕,5.0
132,20,어쩌다보니 천생연분,6.0
133,20,인생존망,5.0
134,20,입시명문사립 정글고등학교,5.0
135,20,전자오락수호대,5.0
136,20,좀비딸,5.0
137,20,참교육,6.0
138,20,캐슬,4.0
139,20,타임인조선,5.0
140,20,투신전생기,5.0
141,20,폭풍의 전학생,4.0
142,20,한림체육관,3.0
143,20,헬퍼,4.0
144,20,헬퍼 2 : 킬베로스,3.0
145,20,호랑이 들어와요,4.0
146,20,호랑이형님,5.0
147,20,화산귀환,6.0
148,21,데드퀸,4.0
149,21,테러대부활,1.0
150,21,하이브 1~2,6.0
151,21,하이브 3,6.0
152,22,연애혁명,6.0
153,23,연애혁명,5.0
154,23,컨트롤제트,5.0
155,23,후레자식,5.0
156,24,약한영웅,5.0
157,24,외모지상주의,1.0
158,26,갓 오브 하이스쿨,4.0
159,26,고삼이 집나갔다,4.0
160,26,고수,5.0
161,26,금수저,3.0
162,26,신의 탑,6.0
163,26,헬퍼,5.0
164,27,바른연애 길잡이,5.0
165,27,별이삼샵,5.0
166,27,여신강림,2.0
167,27,연애혁명,6.0
168,27,좀비딸,5.0
169,27,프리드로우,3.0
170,27,1초,6.0
171,28,김부장,5.0
172,28,사신소년,6.0
173,28,사형소년,4.0
174,28,싸움독학,5.0
175,28,외모지상주의,5.0
176,28,용사가 돌아왔다,5.0
177,28,윈드브레이커,4.0
178,28,일렉시드,5.0
179,28,입학용병,4.0
180,28,참교육,4.0
181,28,천마육성,4.0
182,28,퀘스트지상주의,5.0
183,28,킬러분식,6.0
184,28,헬퍼,4.0
185,28,현실퀘스트,5.0
186,29,김부장,5.0
187,30,외모지상주의,5.0
188,31,남과 여,4.0
189,31,돌아온 럭키짱,3.0
190,31,마음의 숙제,3.0
191,31,무한동력,5.0
192,31,신과함께,6.0
193,31,심연의 하늘 시즌 1~3,1.0
194,31,심연의 하늘 시즌4,1.0
195,31,조석축구만화,6.0
196,31,죽음에 관하여,5.0
197,32,나노마신,5.0
198,32,헬퍼 2 : 킬베로스,1.0
199,32,1초,5.0
200,33,겟백,5.0
201,33,나를 바꿔줘,5.0
202,33,대학원 탈출일지,6.0
203,33,독립일기,5.0
204,33,모죠의 일지,6.0
205,33,아도나이,4.0
206,33,여성전용헬스장 진달래짐,4.0
207,33,피라미드 게임,5.0
208,35,광장,6.0
209,35,별이삼샵,5.0
210,35,청춘 블라썸,1.0
211,36,갓 오브 하이스쿨,1.0
212,36,광마회귀,5.0
213,36,나 혼자 만렙 뉴비,3.0
214,36,나노마신,5.0
215,36,다이스(DICE),1.0
216,36,빅맨,3.0
217,36,선을 넘은 연애,4.0
218,36,신화급 귀속 아이템을 손에 넣었다,4.0
219,36,어쩌다보니 천생연분,4.0
220,36,역대급 영지 설계사,6.0
221,36,윈드브레이커,1.0
222,36,장씨세가 호위무사,4.0
223,36,전지적 독자 시점,5.0
224,36,프리드로우,3.0
225,36,헬퍼,6.0
226,36,호랑신랑뎐,3.0
227,36,99강화나무몽둥이,4.0
228,37,격기3반,5.0
229,37,빌드업,4.0
